district_id,year,quarter,ph,dissolved_oxygen_mg_l,bod_mg_l,total_coliform_mpn,turbidity_ntu,tds_mg_l
10,2022,4,7.46,6.6,0.97,20,3.03,298.0
10,2023,1,7.46,6.36,1.11,3,3.66,141.9
10,2023,2,6.61,4.89,5.12,1137,2.98,280.4
10,2023,3,6.51,5.19,1.04,65,4.54,364.7
10,2023,4,7.05,5.51,2.58,61,0.5,286.4
11,2019,1,6.41,4.21,1.88,633,7.33,233.8
11,2019,2,7.51,3.78,15.69,2143,1.46,345.6
11,2019,3,7.12,3.58,7.12,412,10.94,157.7
11,2019,4,7.98,5.47,4.43,1731,19.76,307.0
11,2020,1,6.57,5.87,9.34,69,15.47,271.4
11,2020,2,7.11,6.99,9.33,1370,23.78,330.1
11,2020,3,7.13,4.82,0.5,88,3.12,336.7
11,2020,4,7.43,3.71,1.98,384,8.73,339.7
11,2021,1,7.12,4.82,0.72,1392,5.04,349.9
11,2021,2,7.64,4.45,0.5,557,1.31,288.6
11,2021,3,6.97,6.65,7.04,516,0.5,267.6
11,2021,4,7.0,2.99,5.22,412,0.5,250.2
11,2022,1,8.13,3.22,9.74,1476,14.31,373.2
11,2022,2,7.03,4.91,6.92,2017,2.86,247.2
11,2022,3,6.88,5.69,13.6,3169,1.88,364.6
11,2022,4,7.14,5.77,7.11,238,1.36,406.0
11,2023,1,6.77,3.44,5.22,1639,10.9,126.2
11,2023,2,6.86,4.54,0.5,223,9.83,202.8
11,2023,3,7.19,5.21,4.69,1510,6.01,236.2
11,2023,4,7.38,7.83,2.38,326,6.75,248.8
12,2019,1,6.95,6.46,1.87,232,2.66,339.3
12,2019,2,7.56,3.39,0.5,67,0.5,158.1
12,2019,3,7.77,2.44,0.76,349,0.5,186.0
12,2019,4,7.73,4.49,1.27,51,0.5,259.3
12,2020,1,6.86,4.84,0.5,301,5.28,238.2
12,2020,2,6.74,3.2,5.23,454,4.81,322.3
12,2020,3,7.61,5.59,1.87,564,6.13,364.0
12,2020,4,7.33,4.85,0.5,352,5.2,398.7
12,2021,1,7.01,3.62,3.26,110,4.19,373.6
12,2021,2,6.45,4.73,3.99,140,1.15,285.2
12,2021,3,7.91,6.05,5.47,166,7.71,322.2
12,2021,4,8.03,3.66,2.37,127,0.94,460.4
12,2022,1,6.87,3.81,1.23,69,6.86,227.8
12,2022,2,6.49,4.86,7.82,140,0.61,228.8
12,2022,3,6.95,6.69,1.36,73,0.93,306.6
12,2022,4,7.17,5.42,3.85,109,0.5,284.8
12,2023,1,7.81,5.03,5.14,766,9.34,216.6
12,2023,2,7.35,3.56,1.03,100,4.14,436.6
12,2023,3,5.78,5.03,3.17,762,1.95,210.2
12,2023,4,7.22,6.19,0.5,697,2.83,183.3
13,2019,1,6.78,5.49,9.32,150,1.9,421.1
13,2019,2,7.78,5.14,3.7,516,4.72,348.1
13,2019,3,7.21,4.86,3.27,142,1.98,390.7
13,2019,4,8.08,5.57,1.43,423,0.5,407.9
13,2020,1,7.78,4.51,6.81,613,8.15,149.0
13,2020,2,6.71,6.23,3.21,1622,1.42,329.6
13,2020,3,8.33,5.56,3.15,691,11.9,323.6
13,2020,4,7.07,3.8,8.12,91,0.5,216.7
13,2021,1,6.59,6.87,0.51,25,2.98,235.5
13,2021,2,8.56,5.8,5.62,397,2.89,181.5
13,2021,3,7.16,5.61,0.55,69,0.5,188.0
13,2021,4,6.2,4.13,5.57,561,0.82,222.6
13,2022,1,7.39,4.11,0.78,269,3.81,393.7
13,2022,2,6.8,7.15,2.73,141,2.16,310.2
13,2022,3,6.95,5.99,7.43,117,18.2,309.1
13,2022,4,8.09,4.17,0.71,657,2.63,274.1
13,2023,1,7.6,4.2,12.07,151,3.19,280.6
13,2023,2,7.16,7.73,3.21,102,4.43,372.0
13,2023,3,6.93,5.01,0.5,132,1.17,285.6
13,2023,4,6.97,5.51,0.5,19,3.87,257.3
14,2019,1,7.29,5.58,3.2,4,0.72,444.1
14,2019,2,7.75,4.29,2.42,454,2.66,294.2
14,2019,3,7.15,7.3,0.5,741,2.96,344.7
14,2019,4,7.13,4.39,2.25,80,1.56,205.2
14,2020,1,8.23,2.21,3.67,401,0.62,390.6
14,2020,2,7.21,5.44,0.79,275,10.23,259.2
14,2020,3,7.07,5.2,2.11,222,2.22,311.1
14,2020,4,7.29,5.64,4.27,561,2.4,325.2
14,2021,1,7.26,7.07,1.5,85,1.8,362.0
14,2021,2,7.5,4.96,4.21,106,2.12,373.8
14,2021,3,6.71,4.42,4.15,500,4.36,316.8
14,2021,4,7.22,4.38,0.85,168,0.5,412.6
14,2022,1,6.91,4.31,0.91,596,0.57,346.3
14,2022,2,6.96,4.81,0.83,72,7.48,320.1
14,2022,3,7.8,6.65,5.37,30,15.1,349.2
14,2022,4,6.7,3.02,1.87,351,2.64,231.6
14,2023,1,7.06,4.28,2.11,871,1.39,303.4
14,2023,2,6.85,3.2,1.3,158,5.09,425.1
14,2023,3,6.39,2.38,1.93,434,12.25,478.3
14,2023,4,7.56,5.64,2.52,388,2.22,272.8
15,2019,1,6.66,7.06,0.5,2372,1.76,294.4
15,2019,2,8.02,4.35,0.97,420,8.53,447.3
15,2019,3,7.34,1.68,4.03,258,4.22,135.4
15,2019,4,7.06,5.88,2.78,9,4.8,233.9
15,2020,1,7.8,5.77,1.89,167,2.17,220.6
15,2020,2,6.77,3.85,2.13,569,0.82,313.0
15,2020,3,7.16,4.24,6.33,6,2.77,275.2
15,2020,4,7.05,4.08,0.5,1429,1.22,312.5
15,2021,1,7.58,6.44,4.58,289,5.15,179.5
15,2021,2,7.0,6.33,2.27,11,1.46,378.2
15,2021,3,7.31,4.71,14.93,164,10.62,224.5
15,2021,4,7.66,5.49,0.5,503,0.5,406.1
15,2022,1,7.2,5.32,12.16,220,2.15,481.8
15,2022,2,7.5,5.99,0.5,202,3.29,268.0
15,2022,3,7.74,5.3,2.57,67,0.65,352.5
15,2022,4,6.74,3.46,0.5,543,2.43,285.2
15,2023,1,7.28,6.12,2.79,287,0.58,395.8
15,2023,2,7.85,7.64,3.81,42,0.5,377.2
15,2023,3,7.34,5.11,2.57,154,1.59,315.2
15,2023,4,8.23,4.0,5.55,9,0.5,326.4
16,2019,1,7.86,1.95,12.24,423,7.56,366.7
16,2019,2,7.45,5.45,1.39,32,0.5,187.7
16,2019,3,6.06,3.79,2.48,95,0.5,294.6
16,2019,4,7.81,5.71,5.35,590,7.96,355.5
16,2020,1,7.19,5.96,0.55,2,6.17,261.0
16,2020,2,7.49,5.42,1.22,86,1.62,266.4
16,2020,3,7.59,3.55,0.5,140,3.26,280.2
16,2020,4,6.7,4.89,4.89,180,2.61,257.1
16,2021,1,6.61,4.51,4.21,29,6.25,321.5
16,2021,2,7.16,1.0,2.48,190,10.77,163.0
16,2021,3,7.73,6.23,2.48,85,0.5,362.8
16,2021,4,7.08,8.06,0.5,232,0.5,240.7
16,2022,1,7.47,4.89,1.53,157,6.9,235.6
16,2022,2,6.67,5.055,0.5,247,7.47,360.8
16,2022,3,7.24,5.22,2.48,976,3.17,281.8
16,2022,4,7.69,4.78,4.98,612,8.71,335.0
16,2023,1,6.64,4.08,4.63,91,7.34,321.6
16,2023,2,7.17,6.4,3.06,189,0.5,197.6
16,2023,3,7.19,5.26,0.52,14,0.5,282.8
16,2023,4,7.19,5.055,9.25,213,1.54,302.2
17,2019,1,7.11,7.05,2.05,25,1.53,248.3
17,2019,2,7.04,5.28,4.44,786,5.24,92.6
17,2019,3,7.56,5.38,1.87,906,3.35,154.5
17,2019,4,6.49,5.17,1.52,823,7.32,309.5
17,2020,1,6.38,3.41,2.44,777,0.5,243.1
17,2020,2,7.11,3.58,1.85,140,3.44,303.0
17,2020,3,7.16,3.21,0.5,88,6.19,278.8
17,2020,4,6.56,5.7,2.53,285,1.1,268.9
17,2021,1,6.48,5.29,2.83,212,2.76,353.7
17,2021,2,7.74,5.4,2.12,744,0.5,289.4
17,2021,3,7.23,2.46,2.98,77,2.83,369.5
17,2021,4,8.69,3.55,0.5,461,3.77,318.4
17,2022,1,7.11,5.35,0.5,44,0.5,352.3
17,2022,2,7.21,6.41,0.5,580,2.37,380.0
17,2022,3,7.38,4.33,0.55,166,11.75,244.7
17,2022,4,6.98,2.62,2.33,70,6.23,128.3
17,2023,1,7.11,7.05,1.54,112,7.44,59.0
17,2023,2,6.99,6.87,0.5,499,0.5,385.0
17,2023,3,7.06,5.29,0.5,111,0.85,413.9
17,2023,4,7.61,7.36,0.5,16,7.67,309.9
18,2019,1,7.0,6.15,0.5,38,16.53,333.8
18,2019,2,6.6,5.05,0.5,237,1.43,286.3
18,2019,3,6.13,3.29,4.26,192,42.87,243.7
18,2019,4,6.55,2.54,0.69,1495,8.63,384.7
18,2020,1,7.11,4.92,1.91,23,1.31,289.0
18,2020,2,8.85,5.03,2.29,218,1.37,163.0
18,2020,3,7.29,3.55,2.76,279,3.05,312.0
18,2020,4,7.18,4.73,5.65,140,6.16,346.0
18,2021,1,7.43,4.17,0.53,367,0.5,258.9
18,2021,2,8.15,4.59,2.08,97,8.79,172.4
18,2021,3,6.2,5.13,0.67,592,15.05,257.6
18,2021,4,8.11,5.26,3.12,360,1.23,287.9
18,2022,1,7.38,4.73,7.82,31,6.55,180.7
18,2022,2,6.51,5.25,4.43,32,2.62,370.2
18,2022,3,7.29,4.34,1.49,113,3.74,255.5
18,2022,4,8.13,5.72,5.42,9,2.47,420.4
18,2023,1,7.61,5.11,1.77,58,4.16,399.4
18,2023,2,7.51,3.99,1.54,203,9.02,337.0
18,2023,3,6.56,4.2,1.21,403,4.81,372.8
18,2023,4,7.53,4.22,7.81,494,3.52,351.0
19,2019,1,8.18,4.29,2.86,455,5.49,423.3
19,2019,2,6.65,5.47,4.84,327,0.5,249.7
19,2019,3,7.12,4.75,1.84,272,5.25,264.8
19,2019,4,6.57,4.93,1.67,387,1.38,209.4
19,2020,1,7.02,5.87,2.74,14,5.63,287.0
19,2020,2,6.79,5.76,0.5,274,3.74,301.8
19,2020,3,7.07,6.24,3.51,280,0.5,242.6
19,2020,4,6.75,4.45,2.82,219,11.79,356.7
19,2021,1,6.5,5.49,0.76,14,1.24,319.9
19,2021,2,7.21,5.76,0.64,19,6.5,261.0
19,2021,3,6.41,4.77,3.22,51,0.97,269.9
19,2021,4,7.12,4.59,3.18,520,7.55,372.7
19,2022,1,6.96,5.86,0.5,268,0.5,390.1
19,2022,2,6.7,4.38,0.5,327,3.37,296.6
19,2022,3,7.27,5.33,1.84,14,5.48,127.5
19,2022,4,7.12,4.53,2.95,651,1.46,249.3
19,2023,1,7.74,4.08,0.5,154,1.21,278.1
19,2023,2,7.48,6.22,0.5,870,3.54,286.0
19,2023,3,8.32,3.65,3.87,132,0.98,163.6
19,2023,4,7.07,3.6,1.23,180,8.98,191.9
20,2019,1,7.05,2.78,2.88,136,0.5,311.8
20,2019,2,6.68,6.05,2.18,529,5.47,263.6
20,2019,3,7.1,4.74,4.99,194,5.67,270.4
20,2019,4,6.93,3.91,4.77,191,46.57,288.2
20,2020,1,7.35,5.94,2.985,45,11.85,369.9
20,2020,2,6.64,7.34,9.6,231,14.63,192.0
20,2020,3,7.17,6.35,2.985,440,6.13,358.1
20,2020,4,6.67,6.59,2.38,286,2.04,296.8
20,2021,1,6.78,4.3,6.14,135,3.26,226.6
20,2021,2,6.47,3.61,0.5,256,0.5,408.6
20,2021,3,8.03,5.34,1.06,131,7.12,305.2
20,2021,4,7.18,4.6,3.55,513,4.9,361.8
20,2022,1,6.58,4.38,1.19,273,0.53,240.0
20,2022,2,7.83,5.19,3.09,187,8.64,160.3
20,2022,3,5.95,5.34,0.5,39,9.77,301.5
20,2022,4,7.52,6.01,3.75,13,7.09,275.8
20,2023,1,7.1,5.8,4.53,41,3.09,325.8
20,2023,2,6.33,4.73,3.56,421,6.92,243.7
20,2023,3,6.63,5.68,0.79,184,2.26,277.2
20,2023,4,7.4,5.44,1.02,423,2.92,244.9
21,2019,1,7.055,6.36,9.75,92,0.5,321.2
21,2019,2,7.12,5.64,0.5,378,0.8,343.4
21,2019,3,7.41,3.16,2.12,791,2.37,201.4
21,2019,4,6.91,5.27,14.83,2275,9.11,280.3
21,2020,1,7.055,5.7,0.5,238,5.19,214.2
21,2020,2,6.49,3.76,0.5,1974,1.66,490.3
21,2020,3,7.54,6.41,0.5,273,0.5,390.7
21,2020,4,6.38,4.82,8.33,145,5.06,426.5
21,2021,1,7.35,6.38,8.25,197,0.91,265.2
21,2021,2,6.96,5.3,3.58,61,1.41,483.3
21,2021,3,6.99,5.42,7.29,479,4.4,386.1
21,2021,4,7.74,3.02,1.26,396,0.5,360.7
21,2022,1,8.06,2.82,0.59,45,0.5,296.1
21,2022,2,6.8,4.38,1.9,182,4.3,247.6
21,2022,3,6.52,4.96,1.24,396,0.5,319.1
21,2022,4,7.32,2.6,0.5,199,0.5,233.3
21,2023,1,7.49,7.02,11.53,519,11.93,202.5
21,2023,2,6.29,3.96,0.59,116,1.15,381.0
21,2023,3,6.7,5.27,8.84,396,0.5,389.4
21,2023,4,8.61,6.57,1.95,352,3.31,386.1
22,2019,1,7.02,3.85,4.02,213,0.58,380.8
22,2019,2,7.33,4.42,0.5,215,1.51,50.0
22,2019,3,7.28,6.02,1.08,206,9.65,304.4
22,2019,4,7.34,4.64,7.44,136,2.86,337.5
22,2020,1,6.85,5.47,7.99,39,7.08,499.6
22,2020,2,7.21,3.69,0.5,287,0.5,236.7
22,2020,3,6.4,5.46,0.5,31,0.74,167.0
22,2020,4,7.5,7.2,0.94,153,1.06,343.6
22,2021,1,7.14,3.3,5.41,245,0.7,241.0
22,2021,2,7.73,6.59,0.5,164,0.5,325.3
22,2021,3,7.9,6.27,5.74,140,11.32,360.3
22,2021,4,6.94,4.53,3.99,68,6.46,217.3
22,2022,1,6.89,5.63,1.08,2,3.35,250.0
22,2022,2,7.34,6.03,1.33,59,5.68,384.4
22,2022,3,7.21,3.97,2.4,46,1.82,338.8
22,2022,4,6.86,3.25,0.5,174,6.15,365.2
22,2023,1,6.87,3.73,0.86,313,3.79,307.8
22,2023,2,6.53,5.94,4.81,76,4.72,289.1
22,2023,3,7.84,5.58,0.63,172,0.93,288.3
22,2023,4,7.75,5.46,2.78,180,0.5,269.7
23,2019,1,6.45,5.22,4.06,13,2.92,251.0
23,2019,2,7.42,4.3,1.95,15,0.67,302.0
23,2019,3,7.4,5.37,0.77,411,2.11,404.8
23,2019,4,7.37,5.31,12.4,213,0.67,182.6
23,2020,1,7.34,6.23,8.62,136,0.5,323.4
23,2020,2,6.98,4.83,0.63,25,2.84,347.8
23,2020,3,6.47,4.07,2.08,445,2.95,347.8
23,2020,4,7.29,4.56,1.05,279,3.72,315.5
23,2021,1,7.49,5.41,0.5,657,6.37,398.1
23,2021,2,7.25,5.79,0.5,119,7.54,262.4
23,2021,3,7.35,4.89,0.88,452,1.28,282.6
23,2021,4,6.75,4.89,0.5,175,1.14,224.7
23,2022,1,7.29,5.54,2.24,118,1.74,302.7
23,2022,2,6.15,6.28,0.5,138,1.1,268.8
23,2022,3,8.09,4.84,1.49,88,1.9,328.1
23,2022,4,7.33,4.51,0.5,311,7.76,280.6
23,2023,1,6.31,6.92,0.5,125,1.69,407.4
23,2023,2,7.17,3.26,6.94,200,16.72,186.8
23,2023,3,7.07,4.54,0.8,519,3.79,216.0
23,2023,4,7.3,4.84,0.75,969,4.68,260.1
24,2019,1,7.48,5.43,6.54,390,3.14,255.2
24,2019,2,7.04,5.7,2.58,0,9.89,328.1
24,2019,3,7.93,5.99,0.5,562,0.84,280.1
24,2019,4,7.1,5.91,0.5,497,4.86,303.0
24,2020,1,7.12,4.64,1.05,419,2.46,291.9
24,2020,2,7.1,5.37,4.64,635,12.5,365.3
24,2020,3,6.69,1.82,2.6,39,2.1,261.1
24,2020,4,6.66,6.42,0.5,267,4.41,272.9
24,2021,1,7.11,5.41,0.73,193,0.59,242.4
24,2021,2,7.22,5.41,5.82,20,9.93,410.3
24,2021,3,7.42,4.4,2.46,247,0.57,281.8
24,2021,4,7.05,5.32,1.5,22,4.54,316.1
24,2022,1,6.97,5.05,1.77,76,0.6,429.3
24,2022,2,7.53,4.73,2.66,368,8.95,193.0
24,2022,3,7.21,5.53,1.29,97,4.03,403.1
24,2022,4,7.23,5.63,5.76,21,1.96,147.0
